step,return,dt_ratio,std_return,cont_cunt
3050,395.6219549491542,"[8, 18, 10, 10, 8, 10, 8, 8, 16, 7, 11, 4, 10, 8, 8, 11, 19, 13, 17, 12, 8, 10, 7, 13, 11, 10, 11, 6, 10, 17]",63.3102589145,63.800000000000004
3100,414.73658481994966,"[10, 10, 10, 10, 16, 9, 12, 14, 12, 7, 13, 13, 11, 15, 11, 11, 13, 14, 9, 11, 7, 15, 9, 8, 12, 18, 8, 9, 7, 10]",89.7114520873273,66.8
3150,362.7727198343654,"[15, 10, 14, 13, 9, 16, 7, 11, 12, 10, 9, 16, 9, 14, 7, 7, 7, 16, 13, 8, 9, 8, 7, 9, 9, 13, 17, 14, 14, 9]",79.55343658674973,66.4
3200,397.2042898614487,"[12, 10, 5, 9, 12, 16, 11, 9, 8, 9, 11, 8, 7, 11, 12, 9, 14, 4, 16, 11, 6, 11, 10, 9, 13, 19, 10, 7, 16, 11]",60.49699190109074,63.199999999999996
3250,419.96083675632326,"[9, 13, 7, 15, 3, 14, 9, 10, 10, 13, 5, 14, 8, 12, 14, 11, 13, 12, 12, 12, 11, 7, 14, 6, 14, 9, 12, 6, 10, 15]",63.437545708826974,64.0
3300,420.94754457927917,"[17, 8, 11, 19, 9, 9, 12, 13, 16, 8, 14, 18, 18, 12, 12, 9, 9, 8, 14, 14, 7, 10, 8, 13, 6, 9, 13, 10, 11, 9]",58.85464183745423,69.2
3350,376.96189238813383,"[11, 15, 13, 10, 12, 9, 11, 10, 10, 12, 15, 10, 11, 12, 14, 9, 18, 10, 13, 11, 13, 11, 10, 10, 10, 8, 6, 11, 14, 8]",107.48627437600587,67.4
3400,356.5047676989046,"[9, 2, 11, 20, 13, 14, 12, 8, 13, 7, 4, 9, 11, 13, 10, 16, 9, 10, 9, 15, 9, 7, 8, 17, 11, 16, 15, 10, 4, 11]",76.76682008368847,64.6
3450,409.23266449300473,"[5, 9, 8, 12, 8, 11, 11, 17, 9, 12, 13, 15, 8, 3, 12, 7, 8, 12, 16, 10, 7, 13, 15, 11, 10, 10, 17, 9, 8, 9]",57.968604007807926,63.0
3500,391.7456337656496,"[16, 16, 8, 12, 12, 7, 13, 13, 9, 14, 13, 7, 16, 15, 13, 10, 10, 18, 12, 11, 6, 12, 12, 12, 9, 12, 7, 7, 6, 14]",25.983065974119153,68.4
3550,350.80273511937753,"[7, 14, 15, 9, 17, 11, 10, 11, 17, 13, 11, 12, 11, 7, 7, 13, 9, 7, 14, 7, 8, 7, 9, 11, 5, 15, 15, 15, 6, 19]",41.90966664916362,66.4
3600,347.903404655932,"[12, 12, 9, 11, 11, 13, 6, 12, 11, 11, 10, 8, 11, 7, 11, 10, 7, 16, 8, 14, 5, 18, 9, 7, 10, 10, 11, 15, 11, 15]",47.732677769408234,64.2
3650,338.4722391192778,"[12, 12, 14, 16, 11, 11, 16, 10, 8, 9, 12, 12, 12, 12, 13, 11, 7, 8, 8, 15, 9, 9, 12, 8, 11, 7, 16, 15, 11, 9]",40.131819149507145,67.2
3700,324.3941178785631,"[6, 3, 13, 18, 22, 8, 18, 11, 10, 8, 9, 8, 10, 8, 11, 15, 5, 7, 12, 13, 10, 9, 11, 12, 17, 6, 11, 15, 11, 10]",39.01835953213917,65.39999999999999
3750,348.142382835063,"[12, 15, 7, 8, 11, 8, 12, 12, 23, 14, 6, 5, 10, 6, 19, 11, 17, 16, 13, 10, 8, 10, 9, 11, 7, 8, 10, 12, 14, 9]",44.61366218473969,66.60000000000001
3800,312.59549928020925,"[14, 11, 16, 8, 12, 6, 14, 13, 9, 18, 9, 11, 11, 20, 14, 8, 12, 9, 4, 10, 13, 3, 6, 6, 11, 11, 13, 14, 15, 11]",56.72388129300962,66.4
3850,318.06870534944414,"[12, 6, 13, 16, 13, 14, 8, 9, 7, 12, 17, 6, 12, 5, 7, 6, 4, 8, 12, 13, 13, 16, 7, 13, 9, 14, 10, 13, 7, 18]",38.860948300912035,64.0
3900,332.0233678644285,"[3, 13, 7, 19, 9, 9, 8, 12, 13, 12, 8, 10, 15, 12, 17, 11, 13, 9, 17, 6, 9, 8, 12, 12, 14, 11, 8, 14, 11, 4]",26.859878609993626,65.2
3950,309.1165531563592,"[9, 10, 13, 8, 16, 15, 9, 11, 10, 14, 9, 10, 10, 12, 16, 8, 13, 10, 11, 10, 11, 12, 12, 16, 5, 11, 9, 12, 5, 14]",15.815016356388185,66.2
4000,299.2337576059303,"[13, 6, 6, 14, 11, 11, 8, 9, 15, 12, 12, 8, 15, 17, 14, 8, 8, 11, 11, 12, 5, 13, 6, 11, 13, 17, 12, 8, 13, 7]",29.71191991797935,65.2
4050,315.6553864847725,"[12, 9, 14, 8, 5, 10, 7, 16, 7, 10, 12, 10, 11, 14, 10, 10, 14, 22, 12, 16, 8, 12, 9, 10, 11, 8, 10, 6, 13, 8]",40.14296217229387,64.8
4100,299.73798715233977,"[19, 13, 15, 8, 10, 11, 12, 17, 9, 10, 8, 11, 11, 12, 5, 9, 15, 11, 6, 10, 11, 13, 7, 9, 14, 15, 10, 17, 13, 6]",49.50122707113542,67.4
4150,252.23421338259678,"[9, 10, 12, 11, 10, 20, 10, 14, 10, 11, 7, 10, 9, 6, 8, 10, 7, 13, 9, 5, 12, 10, 16, 6, 11, 15, 12, 10, 15, 14]",36.62495753814527,64.4
4200,277.91033936460497,"[5, 13, 2, 11, 9, 7, 10, 10, 14, 12, 11, 12, 11, 18, 13, 9, 5, 10, 15, 7, 10, 7, 14, 13, 9, 7, 13, 6, 14, 14]",60.68454950091349,62.2
4250,260.35066274097454,"[8, 10, 13, 13, 4, 9, 9, 13, 5, 13, 14, 9, 9, 11, 11, 14, 10, 9, 11, 12, 11, 13, 7, 12, 15, 7, 10, 12, 13, 10]",32.48482471837806,63.4
4300,263.8086339236739,"[12, 7, 10, 15, 16, 17, 12, 7, 9, 15, 8, 11, 16, 8, 8, 14, 12, 8, 9, 13, 5, 13, 7, 13, 10, 13, 9, 17, 7, 13]",12.448002539179468,66.8
4350,265.8031463547081,"[8, 11, 13, 12, 7, 11, 6, 23, 13, 14, 11, 16, 10, 15, 10, 8, 12, 11, 6, 10, 6, 10, 9, 16, 15, 11, 10, 12, 9, 8]",42.05378705578004,66.60000000000001
4400,232.59413770787182,"[18, 12, 11, 10, 19, 10, 9, 14, 12, 14, 14, 16, 11, 11, 12, 9, 14, 10, 4, 11, 8, 9, 17, 12, 9, 6, 8, 10, 10, 15]",43.07495927110244,69.0
4450,210.33165119899883,"[15, 7, 7, 14, 10, 7, 15, 12, 12, 21, 11, 7, 13, 13, 10, 11, 9, 10, 9, 12, 15, 12, 6, 9, 13, 11, 9, 11, 9, 13]",22.736881465631242,66.6
4500,229.40684448290875,"[4, 9, 10, 12, 10, 14, 9, 14, 12, 14, 6, 15, 13, 14, 12, 11, 11, 10, 12, 8, 6, 17, 9, 13, 10, 13, 8, 11, 6, 12]",21.862906509563576,65.0
4550,252.82315164228282,"[10, 12, 12, 13, 14, 10, 15, 13, 20, 12, 13, 11, 10, 11, 12, 9, 6, 9, 9, 13, 8, 9, 17, 11, 9, 13, 7, 9, 12, 10]",30.845794108606857,67.8
4600,229.50346583753105,"[10, 7, 5, 9, 5, 10, 13, 8, 7, 8, 15, 14, 7, 10, 12, 12, 7, 13, 10, 13, 9, 8, 10, 12, 13, 9, 13, 11, 14, 12]",16.45810828189683,61.199999999999996
4650,244.9371814941481,"[11, 8, 11, 17, 10, 8, 16, 13, 9, 9, 7, 13, 9, 5, 10, 15, 10, 9, 11, 14, 11, 16, 11, 7, 8, 9, 8, 15, 12, 12]",43.67091930116734,64.8
4700,226.0961395622553,"[9, 6, 16, 10, 12, 4, 11, 8, 14, 9, 14, 13, 10, 17, 9, 3, 10, 5, 10, 12, 20, 9, 9, 9, 15, 11, 10, 11, 11, 11]",31.11549497342622,63.599999999999994
4750,246.80800536669875,"[10, 12, 11, 13, 17, 12, 13, 10, 11, 14, 12, 12, 11, 9, 11, 13, 7, 10, 6, 9, 16, 9, 13, 11, 7, 6, 11, 11, 10, 17]",41.25031794052031,66.80000000000001
4800,235.40007327386638,"[11, 12, 6, 13, 8, 11, 10, 9, 16, 13, 9, 8, 8, 10, 13, 8, 10, 9, 12, 13, 4, 15, 15, 12, 9, 5, 12, 13, 12, 13]",38.37115630014907,63.8
4850,238.17247262711862,"[11, 13, 11, 9, 11, 12, 12, 16, 12, 7, 15, 13, 12, 9, 13, 13, 6, 18, 12, 11, 14, 9, 12, 12, 7, 11, 5, 5, 15, 11]",33.200459564972505,67.4
4900,217.3288498158248,"[13, 6, 14, 16, 10, 5, 20, 15, 6, 21, 13, 8, 11, 13, 13, 6, 12, 8, 12, 16, 6, 11, 10, 11, 7, 17, 9, 10, 8, 13]",37.09253757343049,68.0
4950,258.72017245933654,"[12, 15, 12, 13, 10, 11, 10, 10, 6, 6, 13, 15, 10, 15, 12, 16, 11, 9, 12, 10, 13, 6, 11, 5, 11, 7, 11, 9, 11, 18]",16.28907827029888,66.0
5000,206.1626638897036,"[18, 9, 8, 11, 14, 7, 3, 14, 10, 6, 14, 12, 10, 8, 17, 6, 14, 9, 10, 9, 9, 13, 15, 16, 7, 18, 16, 7, 6, 8]",28.373970653831137,64.8
5050,227.41095510295395,"[10, 17, 5, 8, 13, 16, 9, 10, 10, 5, 14, 14, 4, 17, 10, 9, 9, 8, 13, 12, 9, 7, 12, 10, 14, 14, 12, 10, 15, 7]",36.87832271803364,64.6
5100,256.03167294293013,"[8, 11, 11, 11, 9, 15, 9, 13, 16, 7, 5, 13, 7, 10, 12, 12, 9, 14, 9, 11, 11, 10, 15, 18, 8, 8, 12, 12, 10, 6]",38.656659309491594,64.39999999999999
5150,250.26424281801607,"[12, 10, 9, 18, 12, 19, 11, 15, 12, 13, 5, 12, 15, 14, 11, 8, 9, 16, 13, 9, 14, 13, 7, 11, 14, 9, 3, 12, 10, 11]",43.207110557595136,69.39999999999999
5200,263.36971488302004,"[18, 14, 10, 13, 12, 12, 9, 11, 20, 10, 8, 11, 15, 8, 9, 16, 6, 4, 4, 14, 11, 12, 12, 13, 14, 11, 8, 11, 13, 9]",44.23499666590958,67.6
5250,264.6029303706504,"[9, 7, 13, 11, 10, 7, 10, 15, 18, 9, 6, 13, 10, 11, 11, 8, 6, 12, 9, 12, 13, 7, 10, 12, 14, 11, 9, 11, 10, 16]",20.23248340421274,64.0
5300,232.01401521708257,"[12, 6, 10, 10, 15, 12, 16, 16, 8, 7, 10, 16, 12, 9, 9, 5, 13, 6, 14, 18, 14, 12, 7, 10, 7, 10, 15, 16, 4, 9]",29.914705237807297,65.6
5350,241.74929642249506,"[6, 12, 6, 7, 9, 9, 7, 10, 13, 8, 9, 9, 8, 9, 15, 6, 13, 10, 4, 8, 8, 7, 7, 17, 10, 14, 20, 11, 11, 16]",27.01440890600226,59.800000000000004
5400,267.12438812406856,"[13, 14, 18, 16, 13, 11, 12, 5, 10, 12, 14, 10, 15, 9, 6, 7, 15, 10, 11, 15, 11, 12, 12, 10, 14, 12, 5, 11, 12, 7]",44.781205389359165,68.4
5450,228.5537624717039,"[10, 9, 11, 9, 8, 11, 10, 12, 12, 12, 10, 11, 14, 11, 6, 9, 14, 13, 10, 10, 11, 15, 16, 11, 7, 10, 14, 10, 8, 10]",30.988207402505875,64.8
5500,214.8462396760326,"[12, 16, 11, 10, 10, 9, 9, 8, 19, 8, 11, 8, 7, 14, 17, 17, 7, 10, 10, 5, 10, 11, 14, 15, 10, 13, 10, 10, 7, 12]",32.24392177234302,66.0
5550,219.12684494973396,"[8, 7, 9, 14, 14, 17, 11, 9, 13, 8, 9, 12, 14, 15, 13, 8, 10, 11, 12, 11, 10, 9, 15, 15, 6, 14, 9, 13, 6, 8]",35.41635159415959,66.0
5600,245.23019779517145,"[14, 13, 10, 11, 13, 12, 12, 11, 13, 10, 12, 14, 11, 10, 13, 8, 9, 4, 11, 11, 10, 16, 15, 9, 9, 7, 9, 11, 15, 10]",61.81168131768377,66.6
5650,201.9368442661497,"[11, 11, 15, 8, 8, 15, 16, 12, 15, 14, 13, 13, 6, 17, 11, 8, 19, 16, 14, 12, 10, 4, 9, 12, 12, 8, 4, 10, 8, 12]",42.502720794450305,68.60000000000001
5700,224.64602126284188,"[14, 11, 15, 12, 8, 8, 11, 14, 12, 10, 6, 7, 8, 9, 11, 11, 9, 8, 11, 14, 11, 12, 16, 10, 10, 7, 10, 12, 11, 16]",29.51312615533632,64.8
5750,239.66140160378936,"[8, 12, 8, 6, 17, 11, 14, 5, 12, 9, 11, 5, 14, 14, 8, 13, 7, 15, 11, 16, 2, 8, 6, 16, 12, 12, 10, 16, 10, 11]",56.86288703977893,63.800000000000004
5800,206.2897218048107,"[7, 15, 13, 9, 5, 16, 13, 14, 9, 11, 15, 5, 14, 12, 13, 12, 14, 12, 11, 13, 12, 11, 11, 13, 5, 14, 7, 8, 12, 7]",31.330555433056848,66.6
5850,252.61566279491507,"[8, 11, 7, 13, 7, 7, 9, 10, 13, 9, 10, 14, 11, 7, 12, 15, 11, 12, 11, 5, 15, 7, 12, 10, 11, 12, 18, 8, 5, 14]",44.06878710109531,62.8
5900,198.39271748125987,"[14, 12, 9, 11, 8, 11, 7, 11, 9, 14, 10, 15, 11, 7, 14, 11, 15, 19, 11, 11, 3, 13, 7, 14, 8, 11, 10, 11, 8, 13]",28.40186192163435,65.6
5950,218.76693529874916,"[4, 12, 12, 11, 8, 17, 13, 12, 14, 12, 13, 8, 15, 15, 14, 9, 5, 7, 11, 14, 9, 9, 10, 7, 18, 16, 6, 9, 11, 9]",27.38525893276318,66.0
